134	-267	-668	-535	-401	-267	-134	0
535	-320	-936	-669	-401	-267	0	134
-84	-937	-802	-535	-267	-134	134	267
-73	-937	-802	-535	-267	0	134	267
-863	-987	-617	-123	123	370	494	494
-863	-987	-617	-123	123	370	617	740
-401	-668	-134	267	535	535	-134	-401
-802	-535	0	401	936	1203	-401	-134
-669	-535	-134	267	669	1070	-535	-267
-802	-535	0	535	936	1203	-401	0
-987	-494	247	864	-864	-370	123	-247
-617	-370	247	864	-864	-370	123	370
-401	0	535	-402	-267	267	401	-267
-669	267	1070	-669	134	802	1204	-134
-669	267	936	-802	0	669	1203	-267
-535	134	669	-1070	-267	267	802	-802
-370	741	-740	-123	740	-123	-124	370
-494	494	-247	-247	617	494	493	123
-134	802	-534	401	0	-267	401	-134
-267	267	-668	535	0	-134	669	-134
-267	535	-802	401	535	-267	535	669
-134	267	-802	401	134	-267	669	0
0	-616	0	370	-247	1111	494	-123
123	-493	0	370	-123	1111	-494	247
267	-668	535	-535	668	-401	401	-133
401	-1203	802	-936	1070	-669	1337	-267
401	-1203	535	-668	802	-535	936	-535
401	-1203	802	-936	936	-535	1471	-134
123	-370	-123	370	-246	740	-370	123
123	-493	0	247	123	494	123	123
0	267	-534	401	-134	134	134	-134
-267	134	-669	802	-936	401	-134	134
-134	401	-669	669	-401	267	134	0
-267	268	-802	669	-267	401	267	267
-370	617	-1111	-123	864	-864	370	-370
-494	617	-1111	0	1111	-617	617	-864
-401	134	535	-535	0	535	-401	267
-535	134	1070	-802	134	1203	-401	535
-669	134	936	-802	134	1203	-401	535
-669	134	936	-802	134	1203	-401	535
-740	-123	370	1111	-617	123	864	247
-617	0	617	1234	-494	247	1234	-617
-535	-535	0	401	401	-401	0	669
-802	-669	-134	535	1070	-669	-134	535
-669	-668	-134	401	936	-802	-134	267
-669	-669	-134	401	802	-936	-134	267
-864	-864	-494	-247	123	617	1111	-494
-863	-864	-494	-123	247	617	1234	-494
134	-267	-668	-535	-401	0	401	535
535	-1203	-936	-669	-401	-134	267	669
535	-1070	-1070	-669	-401	-134	267	669
535	-1070	-936	-669	-267	0	401	802
