-863	-987	-617	-123	123	370	494	494													
-863	-987	-617	-123	123	370	617	740													
-987	-494	247	864	-864	-370	123	-247													
-617	-370	247	864	-864	-370	123	370													
-370	741	-740	-123	740	-123	-124	370													
-494	494	-247	-247	617	494	493	123													
0	-616	0	370	-247	1111	494	-123													
123	-493	0	370	-123	1111	-494	247													
123	-370	-123	370	-246	740	-370	123													
123	-493	0	247	123	494	123	123													
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
