-440	-501	-300	-40	300	-220	-601	-701	-40
-1000	-420	521	-100	-800	0	120	-660	-1080
-920	-60	-200	-540	740	-640	680	-240	-960
-800	260	-360	640	-860	880	-760	240	-720
-701	420	460	-581	900	-841	40	600	-421
-460	-440	460	160	-700	260	741	240	-180
-160	-300	-300	140	1000	100	-480	-580	0
60	-80	200	-400	-821	-20	40	-80	300
20	40	480	301	381	381	681	161	601
