0	220.8982808	535.0009346	1290.897343	2138	1290.897343	535.0009346	220.8982808
320	523.3942545	1071.262806	2127.364204	1924	2127.364204	1071.262806	523.3942545
320	270.7619815	863.3064346	2078.914127	2358	2078.914127	863.3064346	270.7619815
197	412.3374599	745.0805326	2167.899402	2213	2167.899402	745.0805326	412.3374599
133	541.1829761	402.0012438	2290.453882	401	2290.453882	402.0012438	541.1829761
1202	1258.459756	668.6000299	3375.338064	668	3375.338064	668.6000299	1258.459756
1204	1171.38207	856.6130982	2872.684467	134	2872.684467	856.6130982	1171.38207
1470	1258.459756	551.2839559	3375.338064	936	3375.338064	551.2839559	1258.459756
670	420.2288028	1857.124659	272.506428	134	272.506428	1857.124659	420.2288028
1473	1016.093037	3375.62809	1199.160098	2005	1199.160098	3375.62809	1016.093037
1603	859.4794618	3450.346215	1093.001855	1337	1093.001855	3450.346215	859.4794618
2140	393.4056364	3214.507427	450.8702754	802	450.8702754	3214.507427	393.4056364
1069	2131.505363	268.0018657	314.6726653	535	314.6726653	268.0018657	2131.505363
800	2095.038022	379.0092347	738.4143048	268	738.4143048	379.0092347	2095.038022
1337	2317.128247	964.0689809	960.4783636	1339	960.4783636	964.0689809	2317.128247
534	2162.664641	422.4807688	828.3270195	268	828.3270195	422.4807688	2162.664641
3608	784.2110942	401.0012469	456.4131459	134	456.4131459	401.0012469	784.2110942
6685	827.0627413	945.4020309	1499.657702	535	1499.657702	945.4020309	827.0627413
5615	166.9427535	598.3719579	1242.23996	267	1242.23996	598.3719579	166.9427535
6418	730.6291307	1149.921736	1764.258789	802	1764.258789	1149.921736	730.6291307
