134	-267	-668	-535	-401	-267	-134	0													
535	-320	-936	-669	-401	-267	0	134													
-84	-937	-802	-535	-267	-134	134	267													
-73	-937	-802	-535	-267	0	134	267													
-401	-668	-134	267	535	535	-134	-401													
-802	-535	0	401	936	1203	-401	-134													
-669	-535	-134	267	669	1070	-535	-267													
-802	-535	0	535	936	1203	-401	0													
-401	0	535	-402	-267	267	401	-267													
-669	267	1070	-669	134	802	1204	-134													
-669	267	936	-802	0	669	1203	-267													
-535	134	669	-1070	-267	267	802	-802													
-134	802	-534	401	0	-267	401	-134													
-267	267	-668	535	0	-134	669	-134													
-267	535	-802	401	535	-267	535	669													
-134	267	-802	401	134	-267	669	0													
267	-668	535	-535	668	-401	401	-133													
401	-1203	802	-936	1070	-669	1337	-267													
401	-1203	535	-668	802	-535	936	-535													
401	-1203	802	-936	936	-535	1471	-134													
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
