884736	636056	531441
804357	571787	438976
830584	592704	438976
804357	592704	438976
636056	512000	456533
531441	438976	474552
614125	493039	474552
438976	343000	343000
830584	753571	531441
571787	571787	274625
658503	658503	300763
753571	753571	438976
830584	614125	551368
753571	531441	474552
704969	373248	343000
658503	421875	373248
704969	636056	493039
778688	778688	614125
658503	658503	493039
912673	912673	614125
857375	592704	493039
753571	614125	592704
830584	614125	551368
753571	531441	474552
729000	704969	474552
658503	658503	343000
857375	857375	456533
753571	753571	389017
658503	531441	456533
531441	405224	438976
551368	421875	456533
753571	592704	614125
804357	614125	438976
1061208	830584	636056
1092727	857375	658503
1000000	804357	614125
