267	-668	535	-535	668	-401	401	-133													
401	-1203	802	-936	1070	-669	1337	-267													
401	-1203	535	-668	802	-535	936	-535													
401	-1203	802	-936	936	-535	1471	-134													
0	267	-534	401	-134	134	134	-134													
-267	134	-669	802	-936	401	-134	134													
-134	401	-669	669	-401	267	134	0													
-267	268	-802	669	-267	401	267	267													
-401	134	535	-535	0	535	-401	267													
-535	134	1070	-802	134	1203	-401	535													
-669	134	936	-802	134	1203	-401	535													
-669	134	936	-802	134	1203	-401	535													
-535	-535	0	401	401	-401	0	669													
-802	-669	-134	535	1070	-669	-134	535													
-669	-668	-134	401	936	-802	-134	267													
-669	-669	-134	401	802	-936	-134	267													
134	-267	-668	-535	-401	0	401	535													
535	-1203	-936	-669	-401	-134	267	669													
535	-1070	-1070	-669	-401	-134	267	669													
535	-1070	-936	-669	-267	0	401	802													
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
