134	-535	-668	-535	-401	-267	-134	0	1	-1	-1	-1	-1	-1	-1	0
535	-936	-936	-669	-401	-267	0	134	1	-1	-1	-1	-1	-1	0	1
401	-1070	-802	-535	-267	-134	134	267	1	-1	-1	-1	-1	-1	1	1
535	-1070	-802	-535	-267	0	134	267	1	-1	-1	-1	-1	0	1	1
-401	-668	-134	267	535	535	-134	-401	-1	-1	-1	1	1	1	-1	-1
-802	-535	0	401	936	1203	-401	-134	-1	-1	0	1	1	1	-1	-1
-669	-535	-134	267	669	1070	-535	-267	-1	-1	-1	1	1	1	-1	-1
-802	-535	0	535	936	1203	-401	0	-1	-1	0	1	1	1	-1	0
-401	0	535	-402	-267	267	401	-267	-1	0	1	-1	-1	1	1	-1
-669	267	1070	-669	134	802	1204	-134	-1	1	1	-1	1	1	1	-1
-669	267	936	-802	0	669	1203	-267	-1	1	1	-1	0	1	1	-1
-535	134	669	-1070	-267	267	802	-802	-1	1	1	-1	-1	1	1	-1
-134	802	-534	401	0	-267	401	-134	-1	1	-1	1	0	-1	1	-1
-267	267	-668	535	0	-134	669	-134	-1	1	-1	1	0	-1	1	-1
-267	535	-802	401	535	-267	535	669	-1	1	-1	1	1	-1	1	1
-134	267	-802	401	134	-267	669	0	-1	1	-1	1	1	-1	1	0
267	-668	535	-535	668	-401	401	-133	1	-1	1	-1	1	-1	1	-1
401	-1203	802	-936	1070	-669	1337	-267	1	-1	1	-1	1	-1	1	-1
401	-1203	535	-668	802	-535	936	-535	1	-1	1	-1	1	-1	1	-1
401	-1203	802	-936	936	-535	1471	-134	1	-1	1	-1	1	-1	1	-1
0	267	-534	401	-134	134	134	-134	0	1	-1	1	-1	1	1	-1
-267	134	-669	802	-936	401	-134	134	-1	1	-1	1	-1	1	-1	1
-134	401	-669	669	-401	267	134	0	-1	1	-1	1	-1	1	1	0
-267	268	-802	669	-267	401	267	267	-1	1	-1	1	-1	1	1	1
-401	134	535	-535	0	535	-401	267	-1	1	1	-1	0	1	-1	1
-535	134	1070	-802	134	1203	-401	535	-1	1	1	-1	1	1	-1	1
-669	134	936	-802	134	1203	-401	535	-1	1	1	-1	1	1	-1	1
-669	134	936	-802	134	1203	-401	535	-1	1	1	-1	1	1	-1	1
-535	-535	0	401	401	-401	0	669	-1	-1	0	1	1	-1	0	1
-802	-669	-134	535	1070	-669	-134	535	-1	-1	-1	1	1	-1	-1	1
-669	-668	-134	401	936	-802	-134	267	-1	-1	-1	1	1	-1	-1	1
-669	-669	-134	401	802	-936	-134	267	-1	-1	-1	1	1	-1	-1	1
134	-267	-668	-535	-401	0	401	535	1	-1	-1	-1	-1	0	1	1
535	-1203	-936	-669	-401	-134	267	669	1	-1	-1	-1	-1	-1	1	1
535	-1070	-1070	-669	-401	-134	267	669	1	-1	-1	-1	-1	-1	1	1
535	-1070	-936	-669	-267	0	401	802	1	-1	-1	-1	-1	0	1	1
